event_num,location,arrival_time
1,kite/cascade,2022-11-13_02:27:10
2,kite/cascade,2022-12-03_18:15:40
3,kite/cascade,2022-12-04_01:15:35
4,kite/cascade,2022-12-05_22:17:50
5,kite/cascade,2022-12-13_03:12:30
6,kite/cascade,2022-12-14_08:11:50
7,kite/cascade,2022-12-15_16:58:00
8,kite/cascade,2022-12-24_09:13:30
9,kite/cascade,2022-12-31_15:57:20
10,kite/cascade,2023-01-06_08:23:30
11,kite/cascade,2023-01-06_12:37:30
12,kite/cascade,2023-01-06_20:55:00
13,kite/cascade,2023-01-08_03:14:20
14,kite/cascade,2023-01-08_07:21:40
15,kite/cascade,2023-01-10_08:34:25
16,kite/cascade,2023-01-10_14:05:50
17,kite/cascade,2023-01-12_12:19:10
18,kite/cascade,2023-01-16_07:48:25
19,kite/cascade,2023-01-17_19:22:30
20,kite/cascade,2023-01-24_03:01:10
